"","X","Title","Author","Subject","Abstract","Meta"
"119",119,"can chatgpt detect deepfakes? a study of using multimodal large language models for media forensics","shan jia, reilin lyu, kangran zhao, yize chen, zhiyuan yan, yan ju, chuanbo hu, xin li, baoyuan wu, siwei lyu","artificial intelligence (cs.ai)","deepfakes, which refer to ai-generated media content, have become an increasing concern due to their use as a means for disinformation. detecting deepfakes is currently solved with programmed machine learning algorithms. in this work, we investigate the capabilities of multimodal large language models (llms) in deepfake detection. we conducted qualitative and quantitative experiments to demonstrate multimodal llms and show that they can expose ai-generated images through careful experimental design and prompt engineering. this is interesting, considering that llms are not inherently tailored for media forensic tasks, and the process does not require programming. we discuss the limitations of multimodal llms for these tasks and suggest possible improvements.",2024-03-21
"120",120,"real groups, symmetric varieties and langlands duality","tsao-hsien chen, david nadler","representation theory (math.rt)","let $g_\mathbb r$ be a connected real reductive group and let $x$ be the corresponding complex symmetric variety under the cartan bijection. we construct a canonical equivalence between the relative satake category of $g(\mathcal o)$-equivariant $\mathbb c$-constructible complexes on the loop space of $x$ and the real satake category of $g_\mathbb r(\mathcal o_\mathbb r)$-equivariant $\mathbb c$-constructible complexes on the real affine grassmannian. we show that the equivalence is $t$-exact with respect to the natural perverse $t$-structures and is compatible with the fusion products and hecke actions. we further show that the relative satake category is equivalent to the category of $\mathbb c$-constructible complexes on the moduli stack of $g_\mathbb r$-bundles on the real projective line $\mathbb p^(\mathbb r)$ and hence provides a connection between the relative langlands program and the geometric langlands program for real groups. we provide numerous applications of the main theorems to real and relative langlands duality including the formality and commutativity conjectures for the real and relative satake categories and an identification of the dual groups for $g_\mathbb r$ and $x$.",2024-03-20
"121",121,"depyf: open the opaque box of pytorch compiler for machine learning researchers","kaichao you, runsheng bai, meng cao, jianmin wang, ion stoica, mingsheng long","machine learning (cs.lg)","pytorch \texttt{.x} introduces a compiler designed to accelerate deep learning programs. however, for machine learning researchers, adapting to the pytorch compiler to full potential can be challenging. the compiler operates at the python bytecode level, making it appear as an opaque box. to address this, we introduce \texttt{depyf}, a tool designed to demystify the inner workings of the pytorch compiler. \texttt{depyf} decompiles bytecode generated by pytorch back into equivalent source code, and establishes connections between in-memory code objects and their on-disk source code counterparts. this feature enables users to step through the source code line by line using debuggers, thus enhancing their understanding of the underlying processes. notably, \texttt{depyf} is non-intrusive and user-friendly, primarily relying on two convenient context managers for its core functionality. the project is \href{this https url}{ openly available} and is recognized as a \href{this https url}{pytorch ecosystem project}.",2024-03-14
"122",122,"taming differentiable logics with coq formalisation","reynald affeldt, alessandro bruni, ekaterina komendantskaya, natalia ślusarz, kathrin stark","logic in computer science (cs.lo)","for performance and verification in machine learning, new methods have recently been proposed that optimise learning systems to satisfy formally expressed logical properties. among these methods, differentiable logics (dls) are used to translate propositional or first-order formulae into loss functions deployed for optimisation in machine learning. at the same time, recent attempts to give programming language support for verification of neural networks showed that dls can be used to compile verification properties to machine-learning backends. this situation is calling for stronger guarantees about the soundness of such compilers, the soundness and compositionality of dls, and the differentiability and performance of the resulting loss functions. in this paper, we propose an approach to formalise existing dls using the mathematical components library in the coq proof assistant. thanks to this formalisation, we are able to give uniform semantics to otherwise disparate dls, give formal proofs to existing informal arguments, find errors in previous work, and provide formal proofs to missing conjectured properties. this work is meant as a stepping stone for the development of programming language support for verification of machine learning.",2024-03-20
"123",123,"tensor quantum programming","a. termanova, ar. melnikov, e. mamenchikov, n. belokonev, s. dolgov, a. berezutskii, r. ellerbrock, c. mansell, m. perelshtein","quantum physics (quant-ph)","running quantum algorithms often involves implementing complex quantum circuits with such a large number of multi-qubit gates that the challenge of tackling practical applications appears daunting. to date, no experiments have successfully demonstrated a quantum advantage due to the ease with which the results can be adequately replicated on classical computers through the use of tensor network algorithms. additionally, it remains unclear even in theory where exactly these advantages are rooted within quantum systems because the logarithmic complexity commonly associated with quantum algorithms is also present in algorithms based on tensor networks. in this article, we propose a novel approach called tensor quantum programming, which leverages tensor networks for hybrid quantum computing. our key insight is that the primary challenge of algorithms based on tensor networks lies in their high ranks (bond dimensions). quantum computing offers a potential solution to this challenge, as an ideal quantum computer can represent tensors with arbitrarily high ranks in contrast to classical counterparts, which indicates the way towards quantum advantage. while tensor-based vector-encoding and state-readout are known procedures, the matrix-encoding required for performing matrix-vector multiplications directly on quantum devices remained unsolved. here, we developed an algorithm that encodes matrix product operators into quantum circuits with a depth that depends linearly on the number of qubits. it demonstrates effectiveness on up to  qubits for several matrices frequently encountered in differential equations, optimization problems, and quantum chemistry. we view this work as an initial stride towards the creation of genuinely practical quantum algorithms.",2024-03-20
"124",124,"regent based parallel meshfree lskum solver for heterogenous hpc platforms","sanath salil, nischay ram mamidi, anil nemili, elliott slaughter","distributed, parallel, and cluster computing (cs.dc)","regent is an implicitly parallel programming language that allows the development of a single codebase for heterogeneous platforms targeting cpus and gpus. this paper presents the development of a parallel meshfree solver in regent for two-dimensional inviscid compressible flows. the meshfree solver is based on the least squares kinetic upwind method. example codes are presented to show the difference between the regent and cuda-c implementations of the meshfree solver on a gpu node. for cpu parallel computations, details are presented on how the data communication and synchronisation are handled by regent and fortran+mpi codes. the regent solver is verified by applying it to the standard test cases for inviscid flows. benchmark simulations are performed on coarse to very fine point distributions to assess the solver's performance. the computational efficiency of the regent solver on an a gpu is compared with an equivalent meshfree solver written in cuda-c. the codes are then profiled to investigate the differences in their performance. the performance of the regent solver on cpu cores is compared with an equivalent explicitly parallel fortran meshfree solver based on mpi. scalability results are shown to offer insights into performance.",2024-03-20
"125",125,"c analyzer : a static program analysis tool for c programs","rajendra kumar solanki","programming languages (cs.pl)","in our times, when the world is increasingly becoming more dependent on software programs, writing bug-free, correct programs is crucial. program verification based on formal methods can guarantee this by detecting run-time errors in safety-critical systems to avoid possible adverse impacts on human life and save time and money.
this project work tries to leverage abstract interpretation techniques for static analysis of c programs. c analyzer is a tool developed for static analysis of c programs. this implementation of c analyzer provides a plug-and-play domain architecture for multiple abstract domains to be used. c analyzer supports four abstract domains - interval, octagon, polyhedra, and bit vector. we use these different domains for required precision in program verification. c analyzer tool uses llvm c/c++ compiler frontend clang api to generate and traverse the control flow graph (cfg) of a given c program. this tool generates invariants in different abstract domains for statements in basic blocks of cfg during cfg traversal. using these invariants, some properties of a program, such as dividing by zero, modulus zero, arithmetic overflow, etc., can be analyzed. we also use a source-to-source transformation tool, cil (common intermediate language), to transform some c constructs into simpler constructs, such as transforming logical operators, switch statements, and conditional operators into if-else ladders and transforming do-while and for loops into while loops.
using c analyzer, c program constructs such as declarations, assignments, binary operations (arithmetic, relational, bitwise shift, etc.), conditions (if-else), loops (while, do while, for loop), nested conditions, and nested loops can be analyzed. currently, this tool does not support arrays, structures, unions, pointers, or function calls.",2024-01-28
"126",126,"navigating compiler errors with ai assistance -- a study of gpt hints in an introductory programming course","maciej pankiewicz, ryan s. baker","software engineering (cs.se)","we examined the efficacy of ai-assisted learning in an introductory programming course at the university level by using a gpt- model to generate personalized hints for compiler errors within a platform for automated assessment of programming assignments. the control group had no access to gpt hints. in the experimental condition gpt hints were provided when a compiler error was detected, for the first half of the problems in each module. for the latter half of the module, hints were disabled. students highly rated the usefulness of gpt hints. in affect surveys, the experimental group reported significantly higher levels of focus and lower levels of confrustion (confusion and frustration) than the control group. for the six most commonly occurring error types we observed mixed results in terms of performance when access to gpt hints was enabled for the experimental group. however, in the absence of gpt hints, the experimental group's performance surpassed the control group for five out of the six error types.",2024-03-19
"127",127,"prototipo de video juego activo basado en una cámara d para motivar la actividad física en niños y adultos mayores","benjamín ojeda magaña, josé guadalupe robledo hernández, leopoldo gómez barba, victor manuel rangel cobián","human-computer interaction (cs.hc)","this document describes the development of a video game prototype designed to encourage physical activity among children and older adults. the prototype consists of a laptop, a camera with d sensors, and optionally requires an lcd screen or a projector. the programming component of this prototype was developed in scratch, a programming language geared towards children, which greatly facilitates the creation of a game tailored to the users' preferences. the idea to create such a prototype originated from the desire to offer an option that promotes physical activity among children and adults, given that a lack of physical exercise is a predominant factor in the development of chronic degenerative diseases such as diabetes and hypertension, to name the most common. as a result of this initiative, an active video game prototype was successfully developed, based on a ping-pong game, which allows both children and adults to interact in a fun way while encouraging the performance of physical activities that can positively impact the users' health.",2024-03-19
"128",128,"ikspark: an inverse kinematics solver using semidefinite relaxation and rank minimization","liangting wu, roberto tron","robotics (cs.ro)","inverse kinematics (ik) is a fundamental problem frequently occurred in robot control and motion planning. however, the problem is nonconvex because the kinematic map between the configuration and task spaces is generally nonlinear, which makes it challenging for fast and accurate solutions. the problem can be more complicated with the existence of different physical constraints imposed by the robot structure. in this paper, we develop an inverse kinematics solver named ikspark (inverse kinematics using semidefinite programming and rank minimization) that can find solutions for robots with various structures, including open/closed kinematic chains, spherical, revolute, and/or prismatic joints. the solver works in the space of rotation matrices of the link reference frames and involves solving only convex semidefinite problems (sdps). specifically, the ik problem is formulated as an sdp with an additional rank- constraint on symmetric matrices with constant traces. the solver first solves this sdp disregarding the rank constraint to get a start point and then finds the rank- solution iteratively via a rank minimization algorithm with proven local convergence. compared to other work that performs sdp relaxation for ik problems, our formulation is simpler, and uses variables with smaller sizes. we validate our approach via simulations on different robots, comparing against a standard ik method.",2024-03-18
"129",129,"routing and scheduling in answer set programming applied to multi-agent path finding: preliminary report","roland kaminski, torsten schaub, tran cao son, jiří švancara, philipp wanko","artificial intelligence (cs.ai)","we present alternative approaches to routing and scheduling in answer set programming (asp), and explore them in the context of multi-agent path finding. the idea is to capture the flow of time in terms of partial orders rather than time steps attached to actions and fluents. this also abolishes the need for fixed upper bounds on the length of plans. the trade-off for this avoidance is that (parts of) temporal trajectories must be acyclic, since multiple occurrences of the same action or fluent cannot be distinguished anymore. while this approach provides an interesting alternative for modeling routing, it is without alternative for scheduling since fine-grained timings cannot be represented in asp in a feasible way. this is different for partial orders that can be efficiently handled by external means such as acyclicity and difference constraints. we formally elaborate upon this idea and present several resulting asp encodings. finally, we demonstrate their effectiveness via an empirical analysis.",2024-03-18
"130",130,"semidefinite programming on population clustering: a local analysis","shuheng zhou","statistics theory (math.st)","in this paper, we consider the problem of partitioning a small data sample of size $n$ drawn from a mixture of $$ sub-gaussian distributions. in particular, we design and analyze two computational efficient algorithms to partition data into two groups approximately according to their population of origin given a small sample in a recent paper (zhou a). our work is motivated by the application of clustering individuals according to their population of origin using markers, when the divergence between any two of the populations is small. moreover, we are interested in the case that individual features are of low average quality $\gamma$, and we want to use as few of them as possible to correctly partition the sample. here we use $p \gamma$ to denote the $\ell_^$ distance between two population centers (mean vectors), namely, $\mu^{()}$, $\mu^{()}$ $\in$ ${\mathbb r}^p$. we allow a full range of tradeoffs between $n, p, \gamma$ in the sense that partial recovery (success rate $< \%$) is feasible once the signal to noise ratio $s^ := \min\{np \gamma^, p \gamma\}$ is lower bounded by a constant. our work builds upon the semidefinite relaxation of an integer quadratic program that is formulated essentially as finding the maximum cut on a graph, where edge weights in the cut represent dissimilarity scores between two nodes based on their $p$ features in zhou (a). more importantly, we prove that the misclassification error decays exponentially with respect to the snr $s^$ in the present paper. the significance of such an exponentially decaying error bound is: when $s^ =\omega(\log n)$, perfect recovery of the cluster structure is accomplished. this result was introduced in zhou (a) without a proof. we therefore present the full proof in the present work.",2023-11-23
"131",131,"beamforming design for semantic-bit coexisting communication system","maojun zhang, guangxu zhu, richeng jin, xiaoming chen, qingjiang shi, caijun zhong, kaibin huang","information theory (cs.it)","semantic communication (semcom) is emerging as a key technology for future sixth-generation (g) systems. unlike traditional bit-level communication (bitcom), semcom directly optimizes performance at the semantic level, leading to superior communication efficiency. nevertheless, the task-oriented nature of semcom renders it challenging to completely replace bitcom. consequently, it is desired to consider a semantic-bit coexisting communication system, where a base station (bs) serves semcom users (sem-users) and bitcom users (bit-users) simultaneously. such a system faces severe and heterogeneous inter-user interference. in this context, this paper provides a new semantic-bit coexisting communication framework and proposes a spatial beamforming scheme to accommodate both types of users. specifically, we consider maximizing the semantic rate for semantic users while ensuring the quality-of-service (qos) requirements for bit-users. due to the intractability of obtaining the exact closed-form expression of the semantic rate, a data driven method is first applied to attain an approximated expression via data fitting. with the resulting complex transcendental function, majorization minimization (mm) is adopted to convert the original formulated problem into a multiple-ratio problem, which allows fractional programming (fp) to be used to further transform the problem into an inhomogeneous quadratically constrained quadratic programs (qcqp) problem. solving the problem leads to a semi-closed form solution with undetermined lagrangian factors that can be updated by a fixed point algorithm. extensive simulation results demonstrate that the proposed beamforming scheme significantly outperforms conventional beamforming algorithms such as zero-forcing (zf), maximum ratio transmission (mrt), and weighted minimum mean-square error (wmmse).",2024-03-18
"132",132,"looper: a learned automatic code optimizer for polyhedral compilers","massinissa merouani, khaled afif boudaoud, iheb nassim aouadj, nassim tchoulak, islem kara bernou, hamza benyamina, fatima benbouzid-si tayeb, karima benatchba, hugh leather, riyadh baghdadi","programming languages (cs.pl)","while polyhedral compilers have shown success in implementing advanced code transformations, they still have challenges in selecting the most profitable transformations that lead to the best speedups. this has motivated the use of machine learning to build cost models to guide the search for polyhedral optimizations. state-of-the-art polyhedral compilers have demonstrated a viable proof-of-concept of this approach. while such a proof-of-concept has shown promise, it still has significant limitations. state-of-the-art polyhedral compilers that use a deep-learning cost model only support a small subset of affine transformations, limiting their ability to apply complex code transformations. they also only support simple programs that have a single loop nest and a rectangular iteration domain, limiting their applicability to many programs. these limitations significantly impact the generality of such compilers and autoschedulers and put into question the whole approach. in this paper, we introduce looper, the first polyhedral autoscheduler that uses a deep-learning based cost model and covers a large set of affine transformations and programs. it supports the exploration of a large set of affine transformations, allowing the application of complex sequences of polyhedral transformations. it also supports the optimization of programs with multiple loop nests and with rectangular and non-rectangular iteration domains, allowing the optimization of an extensive set of programs. we implement and evaluate looper and show that it achieves speedups over the state-of-the-art. on the polybench benchmark, looper achieves a geometric mean speedup of .x over tiramisu. looper also achieves competitive speedups with a geometric mean speedup of .x over pluto, a state-of-the-art polyhedral compiler that does not use a machine-learning based cost model.",2024-03-18
"133",133,"table-lookup mac: scalable processing of quantised neural networks in fpga soft logic","daniel gerlinghoff, benjamin chen ming choong, rick siow mong goh, weng-fai wong, tao luo","hardware architecture (cs.ar)","recent advancements in neural network quantisation have yielded remarkable outcomes, with three-bit networks reaching state-of-the-art full-precision accuracy in complex tasks. these achievements present valuable opportunities for accelerating neural networks by computing in reduced precision. implementing it on fpgas can take advantage of bit-level reconfigurability, which is not available on conventional cpus and gpus. simultaneously, the high data intensity of neural network processing has inspired computing-in-memory paradigms, including on fpga platforms. by programming the effects of trained model weights as lookup operations in soft logic, the transfer of weight data from memory units can be avoided, alleviating the memory bottleneck. however, previous methods face poor scalability - the high logic utilisation limiting them to small networks/sub-networks of binary models with low accuracy. in this paper, we introduce table lookup multiply-accumulate (tlmac) as a framework to compile and optimise quantised neural networks for scalable lookup-based processing. tlmac clusters and maps unique groups of weights to lookup-based processing elements, enabling highly parallel computation while taking advantage of parameter redundancy. further place and route algorithms are proposed to reduce lut utilisation and routing congestion. we demonstrate that tlmac significantly improves the scalability of previous related works. our efficient logic mapping and high degree of reuse enables entire imagenet-scale quantised models with full-precision accuracy to be implemented using lookup-based computing on one commercially available fpga.",2024-03-18
"134",134,"multiscale quantile regression with local error control","zhi liu, housen li","methodology (stat.me)","for robust and efficient detection of change points, we introduce a novel methodology muscle (multiscale quantile segmentation controlling local error) that partitions serial data into multiple segments, each sharing a common quantile. it leverages multiple tests for quantile changes over different scales and locations, and variational estimation. unlike the often adopted global error control, muscle focuses on local errors defined on individual segments, significantly improving detection power in finding change points. meanwhile, due to the built-in model complexity penalty, it enjoys the finite sample guarantee that its false discovery rate (or the expected proportion of falsely detected change points) is upper bounded by its unique tuning parameter. further, we obtain the consistency and the localisation error rates in estimating change points, under mild signal-to-noise-ratio conditions. both match (up to log factors) the minimax optimality results in the gaussian setup. all theories hold under the only distributional assumption of serial independence. incorporating the wavelet tree data structure, we develop an efficient dynamic programming algorithm for computing muscle. extensive simulations as well as real data applications in electrophysiology and geophysics demonstrate its competitiveness and effectiveness. an implementation via r package muscle is available from github.",2024-03-17
"135",135,"frequency-reactive power optimization strategy of grid-forming offshore wind farm using dru-hvdc transmission","zhekai li, kun han, xu cai, renxin yang, haotian yu, kepeng xia, lulu liu","optimization and control (math.oc)","the diode rectifier unit-based high voltage direct current (dru-hvdc) transmission with grid-forming (gfm) wind turbine is becoming a promising scheme for offshore wind farm(owf) integration due to its high reliability and low cost. in this scheme, the ac network of the owf and the dru has completely different synchronization mechanisms and power flow characteristics from the traditional power system. to optimize the power flow and reduce the net loss, this paper carries out the power flow modeling and optimization analysis for the dru-hvdc transmission system with grid-forming owfs. the influence of the dru and the gfm wind turbines on the power flow of the system is analyzed. on this basis, improved constraint conditions are proposed and an optimal power flow (opf) method is established. this method can minimize the power loss by adjusting the reactive power output of each wind turbine and internal network frequency. finally, based on matlab, this paper uses yalmip toolkit and cplex mathematical solver to realize the programming solution of the opf model proposed in this paper. the results show that the proposed optimization strategy can effectively reduce the power loss of the entire owf and the transmission system with an optimization ratio of network losses exceeding .%.",2024-03-16
"136",136,"mitigation and optimization of induced seismicity using physics-based forecasting","ryley g hill, matthew weingarten, cornelius langenbruch, yuri fialko","geophysics (physics.geo-ph)","fluid injection can induce seismicity by altering stresses on pre-existing faults. here, we investigate minimizing induced seismic hazard by optimizing injection operations in a physics-based forecasting framework. we built a d finite element model of the poroelastic crust for the raton basin, central us, and used it to estimate time dependent coulomb stress changes due to ~ years of wastewater injection in the region. our finite element model is complemented by a statistical analysis of the seismogenic index (si), a proxy for critically stressed faults affected by variations in the pore pressure. forecasts of seismicity rate from our hybrid physics-based statistical model suggest that induced seismicity in the raton basin, from  - , is still driven by wastewater injection. our model suggests that pore pressure diffusion is the dominant cause of coulomb stress changes at seismogenic depth, with poroelastic stress changes contributing about % to the driving force. linear programming optimization for the raton basin reveals that it is feasible to reduce seismic hazard for a given amount of injected fluid (safety objective) or maximize fluid injection for a prescribed seismic hazard (economic objective). the optimization tends to spread out high-rate injectors and shift them to regions of lower si. the framework has practical importance as a tool to manage injection rate per unit field area to reduce induced seismic hazard. our optimization framework is both flexible and adaptable to mitigate induced seismic hazard in other regions and for other types of subsurface fluid injection.",2024-03-15
"137",137,"unsupervised threat hunting using continuous bag-of-terms-and-time (cbott)","varol kayhan, shivendu shivendu, rouzbeh behnia, clinton daniel, manish agrawal","cryptography and security (cs.cr)","threat hunting is sifting through system logs to detect malicious activities that might have bypassed existing security measures. it can be performed in several ways, one of which is based on detecting anomalies. we propose an unsupervised framework, called continuous bag-of-terms-and-time (cbott), and publish its application programming interface (api) to help researchers and cybersecurity analysts perform anomaly-based threat hunting among siem logs geared toward process auditing on endpoint devices. analyses show that our framework consistently outperforms benchmark approaches. when logs are sorted by likelihood of being an anomaly (from most likely to least), our approach identifies anomalies at higher percentiles (between .-.) while benchmark approaches identify the same anomalies at lower percentiles (between .-.). this framework can be used by other researchers to conduct benchmark analyses and cybersecurity analysts to find anomalies in siem logs.",2024-03-15
"138",138,"lyznet: a lightweight python tool for learning and verifying neural lyapunov functions and regions of attraction","jun liu, yiming meng, maxwell fitzsimmons, ruikun zhou","systems and control (eess.sy)","in this paper, we describe a lightweight python framework that provides integrated learning and verification of neural lyapunov functions for stability analysis. the proposed tool, named lyznet, learns neural lyapunov functions using physics-informed neural networks (pinns) to solve zubov's equation and verifies them using satisfiability modulo theories (smt) solvers. what distinguishes this tool from others in the literature is its ability to provide verified regions of attraction close to the domain of attraction. this is achieved by encoding zubov's partial differential equation (pde) into the pinn approach. by embracing the non-convex nature of the underlying optimization problems, we demonstrate that in cases where convex optimization, such as semidefinite programming, fails to capture the domain of attraction, our neural network framework proves more successful. the tool also offers automatic decomposition of coupled nonlinear systems into a network of low-dimensional subsystems for compositional verification. we illustrate the tool's usage and effectiveness with several numerical examples, including both non-trivial low-dimensional nonlinear systems and high-dimensional systems. the repository of the tool can be found at this https url.",2024-03-15
"139",139,"compositionally verifiable vector neural lyapunov functions for stability analysis of interconnected nonlinear systems","jun liu, yiming meng, maxwell fitzsimmons, ruikun zhou","systems and control (eess.sy)","while there has been increasing interest in using neural networks to compute lyapunov functions, verifying that these functions satisfy the lyapunov conditions and certifying stability regions remain challenging due to the curse of dimensionality. in this paper, we demonstrate that by leveraging the compositional structure of interconnected nonlinear systems, it is possible to verify neural lyapunov functions for high-dimensional systems beyond the capabilities of current satisfiability modulo theories (smt) solvers using a monolithic approach. our numerical examples employ neural lyapunov functions trained by solving zubov's partial differential equation (pde), which characterizes the domain of attraction for individual subsystems. these examples show a performance advantage over sums-of-squares (sos) polynomial lyapunov functions derived from semidefinite programming.",2024-03-15
"140",140,"one-shot learning for mips with sos constraints","charly robinson la rocca, jean-françois cordeau, emma frejinger","optimization and control (math.oc)","efficient algorithms and solvers are required to provide optimal or near-optimal solutions quickly and enable organizations to react promptly to dynamic situations such as supply chain disruptions or changing customer demands. state-of-the-art mixed-integer programming (mip) solvers are crafted to tackle a wide variety of problems, yet many real-world situations are characterized by problem instances that originate from a narrow distribution. this has inspired the creation of tailored approaches that exploit historical data to inform heuristic design. deep learning (dl) methods are typically used in this context to extract patterns from data, but they require large datasets and comprehensive hyperparameter tuning for strong performance. this article describes a one-shot learning heuristic that leverages solutions discovered within the branch-and-bound tree to construct a model with minimal overhead. we evaluate our method on the locomotive assignment problem (lap) and sets of miplib instances that contain constraints based on special ordered sets of type . experimental results include a comparison with multiple primal heuristics and state-of-the-art mip solvers. we show that the method is most effective with cplex in terms of the average primal gap.",2024-03-14
"141",141,"teaching machines to code: smart contract translation with llms","rabimba karanjai, lei xu, weidong shi","software engineering (cs.se)","the advent of large language models (llms) has marked a significant milestone in the realm of artificial intelligence, with their capabilities often matching or surpassing human expertise in various domains. among these achievements, their adeptness in translation tasks stands out, closely mimicking the intricate and preliminary processes undertaken by human translators to ensure the fidelity and quality of the translated content. despite the advancements in utilizing llms for translating programming code across different languages, the domain of smart contract translation, particularly into languages not previously encountered by the llm, remains largely unexplored. in our research, we present a pioneering approach, solmover, which harnesses the synergy of two distinct llms within a unified framework. this framework is designed to grasp coding principles and apply this understanding to the translation of code into an unfamiliar language. our study delves into the capacity of llms to mimic human learning processes, offering an in-depth evaluation of our methodology for converting smart contracts written in solidity to move, a language with limited resources. the framework employs one llm to decipher coding conventions for the new language, creating a blueprint for the second llm, which, lacking planning abilities, possesses coding expertise. the empirical evidence from our experiments suggests that solmover substantially enhances performance compared to gpt-.-turbo-, and achieves superior results over competitors such as palm and mixtral-xb-instruct. additionally, our analysis highlights the efficacy of our bug mitigation strategy in elevating code quality across all models, even outside the solmover framework.",2024-03-13
"142",142,"corais: lightweight real-time scheduler for multi-edge cooperative computing","yujiao hu, qingmin jia, jinchao chen, yuan yao, yan pan, renchao xie, f.richard yu","distributed, parallel, and cluster computing (cs.dc)","multi-edge cooperative computing that combines constrained resources of multiple edges into a powerful resource pool has the potential to deliver great benefits, such as a tremendous computing power, improved response time, more diversified services. however, the mass heterogeneous resources composition and lack of scheduling strategies make the modeling and cooperating of multi-edge computing system particularly complicated. this paper first proposes a system-level state evaluation model to shield the complex hardware configurations and redefine the different service capabilities at heterogeneous edges. secondly, an integer linear programming model is designed to cater for optimally dispatching the distributed arriving requests. finally, a learning-based lightweight real-time scheduler, corais, is proposed. corais embeds the real-time states of multi-edge system and requests information, and combines the embeddings with a policy network to schedule the requests, so that the response time of all requests can be minimized. evaluation results verify that corais can make a high-quality scheduling decision in real time, and can be generalized to other multi-edge computing system, regardless of system scales. characteristic validation also demonstrates that corais successfully learns to balance loads, perceive real-time state and recognize heterogeneity while scheduling.",2024-02-04
"143",143,"leveraging constraint programming in a deep learning approach for dynamically solving the flexible job-shop scheduling problem","imanol echeverria, maialen murua, roberto santana","artificial intelligence (cs.ai)","recent advancements in the flexible job-shop scheduling problem (fjssp) are primarily based on deep reinforcement learning (drl) due to its ability to generate high-quality, real-time solutions. however, drl approaches often fail to fully harness the strengths of existing techniques such as exact methods or constraint programming (cp), which can excel at finding optimal or near-optimal solutions for smaller instances. this paper aims to integrate cp within a deep learning (dl) based methodology, leveraging the benefits of both. in this paper, we introduce a method that involves training a dl model using optimal solutions generated by cp, ensuring the model learns from high-quality data, thereby eliminating the need for the extensive exploration typical in drl and enhancing overall performance. further, we integrate cp into our dl framework to jointly construct solutions, utilizing dl for the initial complex stages and transitioning to cp for optimal resolution as the problem is simplified. our hybrid approach has been extensively tested on three public fjssp benchmarks, demonstrating superior performance over five state-of-the-art drl approaches and a widely-used cp solver. additionally, with the objective of exploring the application to other combinatorial optimization problems, promising preliminary results are presented on applying our hybrid approach to the traveling salesman problem, combining an exact method with a well-known drl method.",2024-03-14
"144",144,"quantum dynamic programming","jeongrak son, marek gluza, ryuji takagi, nelly h. y. ng","quantum physics (quant-ph)","we introduce a quantum extension of dynamic programming, a fundamental computational method for efficiently solving recursive problems using memory. our innovation lies in showing how to coherently generate unitaries of recursion steps using memorized intermediate quantum states. we find that quantum dynamic programming yields an exponential reduction in circuit depth for a large class of fixed-point quantum recursions, including a known recursive variant of the grover's search. additionally, we apply quantum dynamic programming to a recently proposed double-bracket quantum algorithm for diagonalization to obtain a new protocol for obliviously preparing a quantum state in its schmidt basis, providing a potential pathway for revealing entanglement structures of unknown quantum states.",2024-03-14
"145",145,"formalizing date arithmetic and statically detecting ambiguities for the law","raphaël monat, aymeric fromherz, denis merigoux","programming languages (cs.pl)","legal expert systems routinely rely on date computations to determine the eligibility of a citizen to social benefits or whether an application has been filed on time. unfortunately, date arithmetic exhibits many corner cases, which are handled differently from one library to the other, making faithfully transcribing the law into code error-prone, and possibly leading to heavy financial and legal consequences for users. in this work, we aim to provide a solid foundation for date arithmetic working on days, months and years. we first present a novel, formal semantics for date computations, and formally establish several semantic properties through a mechanization in the f proof assistant. building upon this semantics, we then propose a static analysis by abstract interpretation to automatically detect ambiguities in date computations. we finally integrate our approach in the catala language, a recent domain-specific language for formalizing computational law, and use it to analyze the catala implementation of the french housing benefits, leading to the discovery of several date-related ambiguities.",2024-03-13
"146",146,"understanding and evaluating developer behaviour in programming tasks","martin schröer, rainer koschke","software engineering (cs.se)","to evaluate how developers perform differently in solving programming tasks, i.e., which actions and behaviours are more beneficial to them than others and if there are any specific strategies and behaviours that may indicate good versus poor understanding of the task and program given to them, we used the mimesis plug-in to record developers' interactions with the ide. in a series of three studies we investigated the specific behaviour of developers solving a specific programming task. we focused on which source code files they visited, how they related pieces of code and knowledge to others and when and how successful they performed code edits. to cope with the variety of behaviours due to interpersonal differences such as different level of knowledge, development style or problem solving stratiegies, we used an abstraction of the observed behaviour, which enables for a better comparison between different individual attributes such as skill, speed and used stratiegies and also facilitates later automatic evaluation of behaviours, i.e. by using a software to react to.",2024-03-13
"147",147,"user-centric beam selection and precoding design for coordinated multiple-satellite systems","vu nguyen ha, duy h. n. nguyen, juan c.-m. duncan, jorge l. gonzalez-rios, juan a. vasquez, geoffrey eappen, luis m. garces-socarras, rakesh palisetty, symeon chatzinotas, bjorn ottersten","signal processing (eess.sp)","this paper introduces a joint optimization framework for user-centric beam selection and linear precoding (lp) design in a coordinated multiple-satellite (comsat) system, employing a digital-fourier-transform-based (dft) beamforming (bf) technique. regarding serving users at their target sinrs and minimizing the total transmit power, the scheme aims to efficiently determine satellites for users to associate with and activate the best cluster of beams together with optimizing lp for every satellite-to-user transmission. these technical objectives are first framed as a complex mixed-integer programming (mip) challenge. to tackle this, we reformulate it into a joint cluster association and lp design problem. then, by theoretically analyzing the duality relationship between downlink and uplink transmissions, we develop an efficient iterative method to identify the optimal solution. additionally, a simpler duality approach for rapid beam selection and lp design is presented for comparison purposes. simulation results underscore the effectiveness of our proposed schemes across various settings.",2024-03-13
